"","COUNTRY_FINAL","V1"
"1","India",367
"2","China",353
"3","France",249
"4","United Kingdom",237
"5","Afghanistan",223
"6","Japan",220
"7","Canada",185
"8","Iraq",132
"9","Germany",128
"10","Israel",108
"11","Iran",107
"12","Russia",101
"13","Saudi Arabia",98
"14","South Africa",97
"15","Kenya",93
"16","Pakistan",91
"17","Egypt",84
"18","Mexico",81
"19","Brazil",74
"20","Australia",70
"21","South Korea",48
"22","Italy",47
"23","Turkey",45
"24","Ireland",37
"25","Bangladesh",36
"26","Palestine",34
"27","Switzerland",34
"28","Philippines",32
"29","Kuwait",29
"30","Spain",29
"31","Netherlands",28
"32","Norway",28
"33","Sweden",28
"34","Nigeria",26
"35","Bosnia",25
"36","Indonesia",24
"37","Chile",23
"38","Haiti",22
"39","Hong Kong",20
"40","Malaysia",19
"41","Somalia",19
"42","Poland",18
"43","Colombia",17
"44","Liberia",16
"45","Ukraine",16
"46","Zimbabwe",16
"47","Romania",15
"48","Rwanda",15
"49","Serbia",15
"50","Thailand",15
"51","Ethiopia",14
"52","Ghana",14
"53","Jordan",14
"54","Sudan",14
"55","Uganda",14
"56","Cuba",13
"57","Greece",13
"58","Guatemala",13
"59","New Zealand",13
"60","Cambodia",12
"61","Finland",12
"62","Morocco",12
"63","Argentina",11
"64","Lebanon",11
"65","Syria",11
"66","Tunisia",11
"67","Algeria",10
"68","Austria",10
"69","Belgium",10
"70","Iceland",10
"71","Nepal",10
"72","Togo",10
"73","Yemen",10
"74","Denmark",9
"75","El Salvador",9
"76","Myanmar (Burma)",9
"77","viet nam",9
"78","Hungary",8
"79","Senegal",8
"80","UAE",8
"81","DRC",7
"82","Malawi",7
"83","Nicaragua",7
"84","Peru",7
"85","Portugal",7
"86","Singapore",7
"87","Croatia",6
"88","Czechoslovakia",6
"89","Mali",6
"90","Sierra Leone",6
"91","Venezuela",6
"92","Zambia",6
"93","Bahrain",5
"94","Libya",5
"95","Mozambique",5
"96","Papua New Guinea",5
"97","Qatar",5
"98","Sri Lanka",5
"99","Tanzania",5
"100","Cameroon",4
"101","COTE D'IVOIRE",4
"102","Ecuador",4
"103","Guinea",4
"104","Honduras",4
"105","Kosovo",4
"106","Niger",4
"107","Panama",4
"108","Swaziland",4
"109","Armenia",3
"110","Bolivia",3
"111","Botswana",3
"112","Cyprus",3
"113","Dominican Rep",3
"114","Eritrea",3
"115","Guyana",3
"116","Jamaica",3
"117","Luxembourg",3
"118","Paraguay",3
"119","slovakia",3
"120","Barbados",2
"121","Brunei",2
"122","gambia",2
"123","Lithuania",2
"124","Mauritania",2
"125","Seychelles",2
"126","Angola",1
"127","Belarus",1
"128","Bulgaria",1
"129","Cape Verde",1
"130","Costa Rica",1
"131","Georgia",1
"132","Grenada",1
"133","Kazakhstan",1
"134","Latvia",1
"135","Liechtenstein",1
"136","Malta",1
"137","Monaco",1
"138","Mongolia",1
"139","samoa",1
"140","Slovenia",1
"141","Vietnam",1
"142","Yugoslavia",1
