"","Africa","Asia","EECA","LA","MENA","West"
"cancer",6.2,3.09,2.58,3.5,1.6,10.29
"reproductive",16.66,7.41,7.47,8.74,3.66,3.4
"religion",5.15,2.3,2.49,1.43,12.67,3.03
"business",3.88,10.24,4.3,5.47,4.99,8.26
"marriage",9.62,8.34,6.78,7.28,7.15,5.22
"arts",2.92,3.82,5.49,4.66,2.26,6.26
"migration",4.26,6.7,7.73,6.7,3.76,2.59
"rape",6.76,10.91,8.85,10.71,7.07,4.04
"war",4.29,3.86,8.56,4.64,11.68,2.49
"literature",3.76,5.09,8.44,5.55,3.69,8.37
"personal",9.63,10.18,9.6,8.57,9.7,9.78
"rights",8.27,9.49,6.75,7.73,13.96,7.98
"politics",12.72,10.16,11.12,12.62,13,9.55
"sports",2.4,4.29,6.33,8.23,2.23,12.28
"fashion",3.48,4.12,3.54,4.19,2.57,6.47
"Total",100,100,100,100,100,100
