"","Africa","Asia","EECA","LA","MENA","West","Total"
"Business",7,40.79,5.34,6.92,13.26,26.69,100
"Sports",4.03,20.43,5.62,9.57,7.62,52.73,100
"Reproductive Health",30.73,21.94,4.39,6.51,11.23,25.2,100
"Travel",10.5,29.68,5.13,8.01,15.42,31.27,100
"Fashion",6.3,25.59,7.36,7.34,12.09,41.32,100
"UN",16.45,30.22,5.57,6.5,26.22,15.05,100
"Sexual Assault",8.33,40.77,6.23,10.24,19.21,15.21,100
"Combat",8.16,19.06,9.03,6.67,44.65,12.44,100
"Women's Rights and Gender Equality",7.75,29.24,3.61,5.86,28.44,25.1,100
"Politics",6.46,24.3,5.66,9.45,25.17,28.96,100
"Profiles",8.81,29.22,5.45,8.23,18.17,30.12,100
"Human Interest",10.27,29.68,5.65,6.51,20.76,27.12,100
"Marriage & Family",15.19,38.79,4.54,5.68,24.23,11.56,100
"Religion",10.64,13.5,3.11,2.21,52.15,18.4,100
"Cancer",9.26,25.18,4.84,7.79,7.03,45.89,100
